,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
77,Bosnia and Herzegovina,176,0.0,3.0,0.0,2.0,171,1.0,54.0,0.9
78,Tunisia,173,0.0,5.0,0.0,2.0,166,11.0,15.0,0.4
79,Jordan,172,0.0,0.0,0.0,1.0,171,0.0,17.0,0.0
80,Moldova,149,0.0,1.0,0.0,2.0,146,20.0,37.0,0.2
81,Vietnam,148,0.0,0.0,0.0,17.0,131,3.0,2.0,0.0
82,Albania,146,0.0,5.0,0.0,17.0,124,3.0,51.0,2.0
83,Burkina Faso,146,0.0,4.0,0.0,10.0,132,0.0,7.0,0.2
84,Ukraine,145,0.0,5.0,0.0,1.0,139,0.0,3.0,0.1
85,Cyprus,132,0.0,3.0,0.0,3.0,126,3.0,109.0,2.0
86,Faeroe Islands,132,0.0,0.0,0.0,38.0,94,2.0,2701.0,0.0
87,Malta,129,0.0,0.0,0.0,2.0,127,1.0,292.0,0.0
88,Réunion,111,0.0,0.0,0.0,1.0,110,0.0,124.0,0.0
89,Brunei,109,0.0,0.0,0.0,2.0,107,1.0,249.0,0.0
90,Venezuela,106,0.0,0.0,0.0,15.0,91,2.0,4.0,0.0
91,Sri Lanka,102,0.0,0.0,0.0,3.0,99,2.0,5.0,0.0
92,Oman,99,0.0,0.0,0.0,17.0,82,0.0,19.0,0.0
93,Senegal,99,0.0,0.0,0.0,9.0,90,0.0,6.0,0.0
94,Cambodia,96,0.0,0.0,0.0,10.0,86,1.0,6.0,0.0
95,Azerbaijan,93,0.0,2.0,0.0,10.0,81,6.0,9.0,0.2
96,Kazakhstan,88,7.0,0.0,0.0,2.0,86,0.0,5.0,0.0
97,Belarus,86,0.0,0.0,0.0,29.0,57,2.0,9.0,0.0
98,Afghanistan,84,0.0,2.0,0.0,2.0,80,0.0,2.0,0.05
99,Ivory Coast,80,0.0,0.0,0.0,3.0,77,0.0,3.0,0.0
100,Cameroon,75,0.0,1.0,0.0,2.0,72,0.0,3.0,0.04
101,Georgia,75,0.0,0.0,0.0,10.0,65,1.0,19.0,0.0
102,Guadeloupe,73,0.0,1.0,0.0,0.0,72,4.0,182.0,2.0
103,Palestine,71,0.0,1.0,0.0,16.0,54,0.0,14.0,0.2
104,Ghana,68,0.0,4.0,0.0,0.0,64,0.0,2.0,0.1
105,Martinique,66,0.0,1.0,0.0,0.0,65,7.0,176.0,3.0
106,Trinidad and Tobago,60,0.0,1.0,0.0,0.0,59,0.0,43.0,0.7
107,Uzbekistan,60,0.0,0.0,0.0,0.0,60,4.0,2.0,0.0
108,Cuba,57,0.0,1.0,0.0,1.0,55,2.0,5.0,0.09
109,Montenegro,53,0.0,1.0,0.0,0.0,52,1.0,84.0,2.0
110,Honduras,52,0.0,0.0,0.0,0.0,52,0.0,5.0,0.0
111,Nigeria,51,0.0,1.0,0.0,2.0,48,0.0,0.2,0.0
112,Liechtenstein,51,0.0,0.0,0.0,0.0,51,0.0,1338.0,0.0
113,DRC,48,0.0,2.0,0.0,0.0,46,0.0,0.5,0.02
114,Mauritius,48,0.0,2.0,0.0,0.0,46,1.0,38.0,2.0
115,Channel Islands,46,0.0,0.0,0.0,0.0,46,0.0,265.0,0.0
116,Kyrgyzstan,44,0.0,0.0,0.0,0.0,44,0.0,7.0,0.0
117,Rwanda,41,0.0,0.0,0.0,0.0,41,0.0,3.0,0.0
118,Bangladesh,39,0.0,5.0,0.0,7.0,27,0.0,0.2,0.03
119,Bolivia,38,6.0,0.0,0.0,0.0,38,0.0,3.0,0.0
120,Paraguay,37,0.0,3.0,0.0,0.0,34,1.0,5.0,0.4
121,Mayotte,36,0.0,0.0,0.0,0.0,36,0.0,132.0,0.0
122,Macao,31,0.0,0.0,0.0,10.0,21,0.0,48.0,0.0
123,Monaco,31,0.0,0.0,0.0,1.0,30,0.0,790.0,0.0
124,French Guiana,28,0.0,0.0,0.0,6.0,22,0.0,94.0,0.0
125,Kenya,28,0.0,0.0,0.0,1.0,27,0.0,0.5,0.0
126,Jamaica,26,0.0,1.0,0.0,2.0,23,0.0,9.0,0.3
127,Gibraltar,26,0.0,0.0,0.0,5.0,21,0.0,772.0,0.0
128,French Polynesia,25,0.0,0.0,0.0,0.0,25,0.0,89.0,0.0
129,Guatemala,24,0.0,1.0,0.0,4.0,19,0.0,1.0,0.06
130,Isle of Man,23,0.0,0.0,0.0,0.0,23,0.0,270.0,0.0
131,Togo,23,0.0,0.0,0.0,1.0,22,0.0,3.0,0.0
132,Aruba,19,0.0,0.0,0.0,1.0,18,0.0,178.0,0.0
133,Madagascar,19,0.0,0.0,0.0,0.0,19,0.0,0.7,0.0
134,Barbados,18,0.0,0.0,0.0,0.0,18,0.0,63.0,0.0
135,New Caledonia,14,0.0,0.0,0.0,0.0,14,0.0,49.0,0.0
136,Uganda,14,0.0,0.0,0.0,0.0,14,0.0,0.3,0.0
137,El Salvador,13,4.0,0.0,0.0,0.0,13,0.0,2.0,0.0
138,Maldives,13,0.0,0.0,0.0,8.0,5,0.0,24.0,0.0
139,Tanzania,13,0.0,0.0,0.0,0.0,13,0.0,0.2,0.0
140,Ethiopia,12,0.0,0.0,0.0,0.0,12,0.0,0.1,0.0
141,Zambia,12,0.0,0.0,0.0,0.0,12,0.0,0.7,0.0
142,Djibouti,11,0.0,0.0,0.0,0.0,11,0.0,11.0,0.0
143,Dominica,11,0.0,0.0,0.0,0.0,11,0.0,153.0,0.0
144,Saint Martin,11,0.0,0.0,0.0,0.0,11,0.0,284.0,0.0
145,Mongolia,10,0.0,0.0,0.0,0.0,10,0.0,3.0,0.0
146,Equatorial Guinea,9,0.0,0.0,0.0,0.0,9,0.0,6.0,0.0
147,Cayman Islands,8,0.0,1.0,0.0,0.0,7,0.0,122.0,15.0
148,Haiti,8,0.0,0.0,0.0,0.0,8,0.0,0.7,0.0
149,Suriname,8,0.0,0.0,0.0,0.0,8,0.0,14.0,0.0
150,Niger,7,0.0,1.0,0.0,0.0,6,0.0,0.3,0.04
151,Bermuda,7,0.0,0.0,0.0,0.0,7,0.0,112.0,0.0
152,Namibia,7,0.0,0.0,0.0,2.0,5,0.0,3.0,0.0
153,Seychelles,7,0.0,0.0,0.0,0.0,7,0.0,71.0,0.0
154,Curaçao,6,0.0,1.0,0.0,2.0,3,0.0,37.0,6.0
155,Gabon,6,0.0,1.0,0.0,0.0,5,0.0,3.0,0.4
156,Benin,6,0.0,0.0,0.0,0.0,6,0.0,0.5,0.0
157,Greenland,6,0.0,0.0,0.0,2.0,4,0.0,106.0,0.0
158,Guyana,5,0.0,1.0,0.0,0.0,4,0.0,6.0,1.0
159,Bahamas,5,0.0,0.0,0.0,1.0,4,0.0,13.0,0.0
160,Fiji,5,0.0,0.0,0.0,0.0,5,0.0,6.0,0.0
161,Mozambique,5,0.0,0.0,0.0,0.0,5,0.0,0.2,0.0
162,Syria,5,0.0,0.0,0.0,0.0,5,0.0,0.3,0.0
163,Cabo Verde,4,0.0,1.0,0.0,0.0,3,0.0,7.0,2.0
164,Congo,4,0.0,0.0,0.0,0.0,4,0.0,0.7,0.0
165,Eritrea,4,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
166,Guinea,4,0.0,0.0,0.0,0.0,4,0.0,0.3,0.0
167,Vatican City,4,0.0,0.0,0.0,0.0,4,0.0,4994.0,0.0
168,Eswatini,4,0.0,0.0,0.0,0.0,4,0.0,3.0,0.0
169,Gambia,3,0.0,1.0,0.0,0.0,2,0.0,1.0,0.4
170,Sudan,3,0.0,1.0,0.0,0.0,2,0.0,0.07,0.02
171,Zimbabwe,3,0.0,1.0,0.0,0.0,2,0.0,0.2,0.07
172,Nepal,3,0.0,0.0,0.0,1.0,2,0.0,0.1,0.0
173,Angola,3,0.0,0.0,0.0,0.0,3,0.0,0.09,0.0
174,Antigua and Barbuda,3,0.0,0.0,0.0,0.0,3,0.0,31.0,0.0
175,CAR,3,0.0,0.0,0.0,0.0,3,0.0,0.6,0.0
176,Chad,3,0.0,0.0,0.0,0.0,3,0.0,0.2,0.0
177,Laos,3,0.0,0.0,0.0,0.0,3,0.0,0.4,0.0
178,Liberia,3,0.0,0.0,0.0,0.0,3,0.0,0.6,0.0
179,Myanmar,3,0.0,0.0,0.0,0.0,3,0.0,0.06,0.0
180,St. Barth,3,0.0,0.0,0.0,0.0,3,0.0,304.0,0.0
181,Saint Lucia,3,0.0,0.0,0.0,0.0,3,0.0,16.0,0.0
182,Sint Maarten,3,0.0,0.0,0.0,0.0,3,0.0,70.0,0.0
183,Belize,2,0.0,0.0,0.0,0.0,2,0.0,5.0,0.0
184,Bhutan,2,0.0,0.0,0.0,0.0,2,0.0,3.0,0.0
185,British Virgin Islands,2,0.0,0.0,0.0,0.0,2,0.0,66.0,0.0
186,Guinea-Bissau,2,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0
187,Mali,2,0.0,0.0,0.0,0.0,2,0.0,0.1,0.0
188,Mauritania,2,0.0,0.0,0.0,0.0,2,0.0,0.4,0.0
189,Nicaragua,2,0.0,0.0,0.0,0.0,2,0.0,0.3,0.0
190,Saint Kitts and Nevis,2,0.0,0.0,0.0,0.0,2,0.0,38.0,0.0
191,Grenada,1,0.0,0.0,0.0,0.0,1,0.0,9.0,0.0
192,Libya,1,0.0,0.0,0.0,0.0,1,0.0,0.1,0.0
193,Montserrat,1,0.0,0.0,0.0,0.0,1,0.0,200.0,0.0
194,Papua New Guinea,1,0.0,0.0,0.0,0.0,1,0.0,0.1,0.0
195,St. Vincent Grenadines,1,0.0,0.0,0.0,0.0,1,0.0,9.0,0.0
196,Somalia,1,0.0,0.0,0.0,0.0,1,0.0,0.06,0.0
197,Timor-Leste,1,0.0,0.0,0.0,0.0,1,0.0,0.8,0.0
198,Turks and Caicos,1,0.0,0.0,0.0,0.0,1,0.0,26.0,0.0
199,Total:,471794,826.0,21297.0,19.0,114703.0,335794,14795.0,60.5,2.7
